Draft Number,Round Number,Player,Team,Conference,Position,Team Name,Owner Name,Season,Player ID,Player Birth Place,Player Birth Country,Player Height (in),Player Weight (lbs),Player DOB,Player Age,Fantasy Points,G,A,+/-,PTS,PIM,PPG,PPA,SHG,SHA,GWG,FOW,FOL,25,TTOI,ATOI,SOG,30,HIT,BLK,GP,STPG,STPA,STP,PPP,SHP,HAT,GS,W,L,SA,GA,SV,SO,MIN,OTL,GAA,SV%,12,DEF,99,5
17,4,Jason Spezza,DAL,Western,C,Grand Line Strawhats,Nam Le,20142015,3807.0,,CAN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,Martin St. Louis,NYR,Eastern,RW,Kitty City,Brandon Nguyen,20142015,2583.0,,CAN,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,Henrik Sedin,VAN,Western,C,Team lam,bryan lam,20142015,5406.0,,SWE,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,Jamie Benn,DAL,Western,LW,Yo Yo Aro,Brian Duong,20142015,3998.0,,CAN,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,Taylor Hall,EDM,Western,LW,Yo Yo Aro,Brian Duong,20142015,5428.0,,CAN,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,Daniel Sedin,VAN,Western,LW,Team lam,bryan lam,20142015,5407.0,,SWE,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,Phil Kessel,TOR,Eastern,RW,Kitty City,Brandon Nguyen,20142015,3852.0,,USA,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5,Shea Weber,NSH,Western,D,Grand Line Strawhats,Nam Le,20142015,5437.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,Joe Pavelski,SJ,Western,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3451.0,,USA,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,Kris Letang,PIT,Eastern,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3539.0,,CAN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,Marian Hossa,CHI,Western,RW,Grand Line Strawhats,Nam Le,20142015,5440.0,,SVK,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,Pavel Datsyuk,DET,Eastern,C,Kitty City,Brandon Nguyen,20142015,2996.0,,RUS,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,Sean Monahan,CGY,Western,C,Team lam,bryan lam,20142015,3899948.0,,CAN,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,Patrick Marleau,SJ,Western,LW,Yo Yo Aro,Brian Duong,20142015,3004.0,,CAN,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,Joe Thornton,SJ,Western,C,Yo Yo Aro,Brian Duong,20142015,3024.0,,CAN,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7,Jarome Iginla,COL,Western,RW,Team lam,bryan lam,20142015,3102.0,,CAN,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7,Henrik Zetterberg,DET,Eastern,C,Kitty City,Brandon Nguyen,20142015,5438.0,,SWE,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,Patrick Sharp,CHI,Western,LW,Grand Line Strawhats,Nam Le,20142015,3033.0,,CAN,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,Drew Doughty,LA,Western,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3995.0,,CAN,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,Nicklas Backstrom,WSH,Eastern,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5405.0,,SWE,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8,Jason Pominville,MIN,Western,RW,Grand Line Strawhats,Nam Le,20142015,3066.0,,CAN,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,Chris Kunitz,PIT,Eastern,LW,Kitty City,Brandon Nguyen,20142015,3119.0,,CAN,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,Ryan Kesler,ANA,Western,C,Team lam,bryan lam,20142015,5041.0,,USA,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8,Matt Duchene,COL,Western,C,Yo Yo Aro,Brian Duong,20142015,5161.0,,CAN,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9,Logan Couture,SJ,Western,C,Yo Yo Aro,Brian Duong,20142015,3773.0,,CAN,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9,Kyle Turris,OTT,Eastern,C,Team lam,bryan lam,20142015,5478.0,,CAN,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9,Zach Parise,MIN,Western,LW,Kitty City,Brandon Nguyen,20142015,5493.0,,USA,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9,Duncan Keith,CHI,Western,D,Grand Line Strawhats,Nam Le,20142015,5418.0,,CAN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9,Keith Yandle,NYR,Eastern,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5009.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10,Nathan MacKinnon,COL,Western,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3041969.0,,CAN,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10,Ryan Suter,MIN,Western,D,Grand Line Strawhats,Nam Le,20142015,3047.0,,USA,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10,Eric Staal,CAR,Eastern,C,Kitty City,Brandon Nguyen,20142015,3037.0,,CAN,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10,Ryan O'Reilly,COL,Western,RW,Team lam,bryan lam,20142015,5047.0,,CAN,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10,Alex Pietrangelo,STL,Western,D,Yo Yo Aro,Brian Duong,20142015,4013.0,,CAN,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,11,Max Pacioretty,MON,Eastern,LW,Yo Yo Aro,Brian Duong,20142015,4005.0,,CAN,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,11,Zdeno Chara,BOS,Eastern,D,Team lam,bryan lam,20142015,2956.0,,SVK,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,11,Mark Streit,PHI,Eastern,D,Kitty City,Brandon Nguyen,20142015,5454.0,,SUI,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,11,T.J. Oshie,STL,Western,RW,Grand Line Strawhats,Nam Le,20142015,5555.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,11,Wayne Simmonds,PHI,Eastern,LW,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5490.0,,CAN,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12,Oliver Ekman-Larsson,ARI,Western,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5488.0,,SWE,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12,Jordan Eberle,EDM,Western,RW,Grand Line Strawhats,Nam Le,20142015,5032.0,,CAN,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,12,Kevin Shattenkirk,STL,Western,D,Kitty City,Brandon Nguyen,20142015,5008.0,,USA,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12,Victor Hedman,TB,Eastern,D,Team lam,bryan lam,20142015,5157.0,,SWE,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,12,Ryan McDonagh,NYR,Eastern,D,Yo Yo Aro,Brian Duong,20142015,4954.0,,USA,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,13,Brent Seabrook,CHI,Western,D,Yo Yo Aro,Brian Duong,20142015,5084.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,13,Gabriel Landeskog,COL,Western,LW,Team lam,bryan lam,20142015,5435.0,,SWE,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,13,Mark Giordano,CGY,Western,D,Kitty City,Brandon Nguyen,20142015,3006.0,,CAN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,13,Blake Wheeler,WPG,Western,RW,Grand Line Strawhats,Nam Le,20142015,3961.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,13,Marian Gaborik,LA,Western,RW,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5448.0,,SVK,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,Jaromir Jagr,FLA,Eastern,RW,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5639.0,,CZE,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,14,Mikko Koivu,MIN,Western,C,Grand Line Strawhats,Nam Le,20142015,5831.0,,FIN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,14,Mike Green,WSH,Eastern,D,Kitty City,Brandon Nguyen,20142015,5411.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,14,David Backes,STL,Western,C,Team lam,bryan lam,20142015,5524.0,,USA,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,14,James Wisniewski,ANA,Western,D,Yo Yo Aro,Brian Duong,20142015,5551.0,,USA,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,15,Christian Ehrhoff,PIT,Eastern,D,Yo Yo Aro,Brian Duong,20142015,5517.0,,GER,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,15,Jeff Carter,LA,Western,RW,Team lam,bryan lam,20142015,3933.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,15,Dustin Byfuglien,WPG,Western,RW,Kitty City,Brandon Nguyen,20142015,5544.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,15,Dan Boyle,NYR,Eastern,D,Grand Line Strawhats,Nam Le,20142015,5502.0,,USA,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,Carey Price,MON,Eastern,G,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5409.0,,CAN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16,Tuukka Rask,BOS,Eastern,G,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5515.0,,FIN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,16,Niklas Kronwall,DET,Eastern,D,Grand Line Strawhats,Nam Le,20142015,5533.0,,SWE,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,16,Andrei Markov,MON,Eastern,D,Kitty City,Brandon Nguyen,20142015,5625.0,,BLR,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16,Pascal Dupuis,PIT,Eastern,RW,Team lam,bryan lam,20142015,5570.0,,CAN,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,16,Tomas Hertl,SJ,Western,LW,Yo Yo Aro,Brian Duong,20142015,2976844.0,,CZE,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,17,Matt Niskanen,WSH,Eastern,D,Yo Yo Aro,Brian Duong,20142015,5497.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,17,Dion Phaneuf,TOR,Eastern,D,Team lam,bryan lam,20142015,5535.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,17,Thomas Vanek,MIN,Western,LW,Kitty City,Brandon Nguyen,20142015,5618.0,,AUT,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,17,Brent Burns,SJ,Western,D,Grand Line Strawhats,Nam Le,20142015,2300.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,17,Bobby Ryan,OTT,Eastern,RW,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5552.0,,USA,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,18,David Krejci,BOS,Eastern,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5589.0,,CZE,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,18,Antti Niemi,SJ,Western,G,Grand Line Strawhats,Nam Le,20142015,3115.0,,FIN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,18,Semyon Varlamov,COL,Western,G,Kitty City,Brandon Nguyen,20142015,5649.0,,RUS,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,18,Dave Bolland,FLA,Eastern,C,Team lam,bryan lam,20142015,5634.0,,CAN,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,18,Marc-Andre Fleury,PIT,Eastern,G,Yo Yo Aro,Brian Duong,20142015,2346.0,,CAN,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,19,Corey Crawford,CHI,Western,G,Yo Yo Aro,Brian Duong,20142015,5597.0,,CAN,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,19,Jay McClement,CAR,Eastern,C,Team lam,bryan lam,20142015,5506.0,,CAN,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,19,Jonathan Quick,LA,Western,G,Kitty City,Brandon Nguyen,20142015,5586.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,19,Ben Bishop,TB,Eastern,G,Grand Line Strawhats,Nam Le,20142015,5608.0,,USA,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,19,Patrice Bergeron,BOS,Eastern,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,2280.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20,Ryan Johansen,CLS,Western,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5434.0,,CAN,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,20,Rick Nash,NYR,Eastern,LW,Grand Line Strawhats,Nam Le,20142015,5635.0,,CAN,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20,Mike Cammalleri,NJ,Eastern,LW,Kitty City,Brandon Nguyen,20142015,5502.0,,CAN,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,20,Torey Krug,BOS,Eastern,D,Team lam,bryan lam,20142015,2952729.0,,USA,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,20,James Neal,NSH,Western,LW,Yo Yo Aro,Brian Duong,20142015,5651.0,,CAN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Sidney Crosby,PIT,Eastern,C,Selena Gomez,Brian Duong,20152016,3114.0,"Cole Harbour, NS",CAN,71.0,200.0,7/8/1987,28.0,85.0,36.0,49.0,19.0,85.0,42.0,10.0,14.0,,,9.0,986.0,921.0,2114.0,98253.0,1228.1625,248.0,80.0,90.0,35.0,80.0,10.0,14.0,24.0,24.0,,1.0,,,,,,,,,,,,,,,
2,1,Alex Ovechkin,WSH,Eastern,RW,Lights _2,bryan lam,20152016,3101.0,"Moscow, USSR",USSR,75.0,238.0,17/9/1985,30.0,71.0,50.0,21.0,21.0,71.0,53.0,19.0,5.0,,,8.0,,,1714.0,96262.0,1218.506329113924,398.0,79.0,225.0,34.0,79.0,19.0,5.0,24.0,24.0,,2.0,,,,,,,,,,,,,,,
3,1,John Tavares,NYI,Eastern,C,Carly Rae Jepsen,Nam Le,20152016,5160.0,"Mississauga, ON",CAN,73.0,211.0,20/9/1990,25.0,70.0,33.0,37.0,6.0,70.0,38.0,7.0,12.0,,,5.0,741.0,629.0,1744.0,93574.0,1199.6666666666667,250.0,78.0,51.0,29.0,78.0,7.0,12.0,19.0,19.0,,,,,,,,,,,,,,,,,
4,1,Tyler Seguin,DAL,Western,C,Taylor Swift,Maanik Bhandari,20152016,5430.0,"Brampton, ON",CAN,74.0,201.0,31/1/1992,23.0,73.0,33.0,40.0,2.0,73.0,16.0,7.0,17.0,,,6.0,470.0,376.0,1744.0,83991.0,1166.5416666666667,278.0,72.0,80.0,27.0,72.0,7.0,17.0,24.0,24.0,,1.0,,,,,,,,,,,,,,,
5,1,Steven Stamkos,TB,Eastern,C,Ariana Grande,Brandon Nguyen,20152016,5037.0,"Markham, ON",CAN,73.0,193.0,7/2/1990,25.0,64.0,36.0,28.0,3.0,64.0,38.0,14.0,9.0,1.0,2.0,8.0,463.0,464.0,1736.0,91266.0,1185.2727272727273,216.0,77.0,109.0,35.0,77.0,15.0,11.0,26.0,23.0,3.0,,,,,,,,,,,,,,,,
6,1,Jamie Benn,DAL,Western,LW,Lights _,Ivan Chow,20152016,3998.0,"Victoria, BC",CAN,75.0,206.0,18/7/1989,26.0,89.0,41.0,48.0,7.0,89.0,64.0,17.0,13.0,2.0,3.0,5.0,226.0,252.0,2191.0,98508.0,1201.3170731707316,247.0,82.0,156.0,55.0,82.0,19.0,16.0,35.0,30.0,5.0,,,,,,,,,,,,,,,,
7,2,Claude Giroux,PHI,Eastern,C,Lights _,Ivan Chow,20152016,3775.0,"Hearst, ON",CAN,71.0,186.0,12/1/1988,27.0,67.0,22.0,45.0,-8.0,67.0,53.0,6.0,21.0,1.0,1.0,5.0,1081.0,800.0,2124.0,96157.0,1232.7820512820513,241.0,78.0,83.0,36.0,78.0,7.0,22.0,29.0,27.0,2.0,,,,,,,,,,,,,,,,
8,2,Evgeni Malkin,PIT,Eastern,C,Ariana Grande,Brandon Nguyen,20152016,3124.0,"Magnitogorsk, USSR",USSR,77.0,210.0,31/7/1986,29.0,58.0,27.0,31.0,1.0,58.0,65.0,11.0,16.0,,,6.0,317.0,438.0,1351.0,66241.0,1162.122807017544,162.0,57.0,27.0,19.0,57.0,11.0,16.0,27.0,27.0,,1.0,,,,,,,,,,,,,,,
9,2,Vladimir Tarasenko,STL,Western,RW,Taylor Swift,Maanik Bhandari,20152016,5837.0,"Yaroslavl, RUS",RUS,73.0,219.0,13/12/1991,24.0,74.0,40.0,34.0,7.0,74.0,37.0,12.0,12.0,,,7.0,,1.0,2129.0,89461.0,1118.2625,292.0,80.0,32.0,28.0,80.0,12.0,12.0,24.0,24.0,,,,,,,,,,,,,,,,,
10,2,Ryan Johansen,NSH,Western,C,Carly Rae Jepsen,Nam Le,20152016,5434.0,"Vancouver, BC",CAN,75.0,218.0,31/7/1992,23.0,60.0,14.0,46.0,6.0,60.0,61.0,4.0,18.0,,,2.0,652.0,594.0,1745.0,84301.0,1053.7625,185.0,80.0,115.0,30.0,80.0,4.0,18.0,22.0,22.0,,,,,,,,,,,,,,,,,
11,2,Sean Monahan,CGY,Western,C,Lights _2,bryan lam,20152016,3041996.0,"Brampton, ON",CAN,74.0,197.0,12/10/1994,21.0,63.0,27.0,36.0,-6.0,63.0,18.0,7.0,13.0,,,5.0,887.0,852.0,2128.0,93166.0,1150.1975308641975,197.0,81.0,38.0,37.0,81.0,7.0,13.0,20.0,20.0,,,,,,,,,,,,,,,,,
12,2,Erik Karlsson,OTT,Eastern,D,Selena Gomez,Brian Duong,20152016,5164.0,"Landsbro, SWE",SWE,72.0,186.0,31/5/1990,25.0,82.0,16.0,66.0,-2.0,82.0,50.0,1.0,25.0,,,3.0,,1.0,2221.0,142555.0,1738.4756097560976,248.0,82.0,84.0,175.0,82.0,1.0,25.0,26.0,26.0,,,,,,,,,,,,,,,82.0,,
13,3,Jonathan Toews,CHI,Western,C,Selena Gomez,Brian Duong,20152016,3669.0,"Winnipeg, MB",CAN,74.0,201.0,29/4/1988,27.0,58.0,28.0,30.0,16.0,58.0,62.0,6.0,3.0,4.0,3.0,8.0,921.0,652.0,2033.0,92390.0,1154.875,179.0,80.0,81.0,38.0,80.0,10.0,6.0,16.0,9.0,7.0,,,,,,,,,,,,,,,,
14,3,Ryan Suter,MIN,Western,D,Lights _2,bryan lam,20152016,3047.0,"Madison, WI",USA,73.0,201.0,21/1/1985,30.0,51.0,8.0,43.0,10.0,51.0,30.0,3.0,18.0,1.0,1.0,2.0,,,2592.0,140677.0,1715.5731707317073,188.0,82.0,69.0,142.0,82.0,4.0,19.0,23.0,21.0,2.0,,,,,,,,,,,,,,51.0,,
15,3,Jakub Voracek,PHI,Eastern,RW,Carly Rae Jepsen,Nam Le,20152016,3781.0,"Kladno, Czechoslovakia",Czechoslovakia,74.0,214.0,15/8/1989,26.0,55.0,11.0,44.0,-5.0,55.0,38.0,1.0,22.0,,,2.0,3.0,3.0,1779.0,81407.0,1115.164383561644,213.0,73.0,51.0,34.0,73.0,1.0,22.0,23.0,23.0,,,,,,,,,,,,,,,,,
16,3,Phil Kessel,PIT,Eastern,RW,Taylor Swift,Maanik Bhandari,20152016,3479.0,"Madison, WI",USA,71.0,208.0,2/10/1987,28.0,59.0,26.0,33.0,9.0,59.0,18.0,4.0,13.0,,,5.0,2.0,3.0,1886.0,90436.0,1102.878048780488,274.0,82.0,9.0,13.0,82.0,4.0,13.0,17.0,17.0,,,,,,,,,,,,,,,,,
